company,title,description,published_at,source,url,scraped_at,text,clean_text
Pfizer,Pfizer (NYSE:PFE) Shares Unloaded Rep. Jefferson Shreve,"Representative Jefferson Shreve (R-Indiana) recently sold shares of Pfizer Inc. (NYSE:PFE). In a filing disclosed on May 08th, the Representative disclosed that they had sold between $15,001 and $50,000 in Pfizer stock on April 11th. The trade occurred in the…",2025-05-11T06:04:49Z,ETF Daily News,https://www.etfdailynews.com/2025/05/11/pfizer-nysepfe-shares-unloaded-rep-jefferson-shreve/,2025-05-12 11:50:05,"Pfizer (NYSE:PFE) Shares Unloaded Rep. Jefferson Shreve Representative Jefferson Shreve (R-Indiana) recently sold shares of Pfizer Inc. (NYSE:PFE). In a filing disclosed on May 08th, the Representative disclosed that they had sold between $15,001 and $50,000 in Pfizer stock on April 11th. The trade occurred in the…",pfizer nysepfe share unloaded rep jefferson shreve representative jefferson shreve rindiana recently sold share pfizer inc nysepfe filing disclosed may 08th representative disclosed sold 15001 50000 pfizer stock april 11th trade occurred
Pfizer,Souter’s shame,"A word of perspective needs to be added to the fawning chorus that has arisen upon the recent death of former U.S. Supreme Court Justice Souter.

Souter’s legacy was severely compromised by his embrace of the outrageous Kelo decision of 2005....",2025-05-11T04:00:00Z,Americanthinker.com,https://www.americanthinker.com/blog/2025/05/souter_s_shame.html,2025-05-12 11:50:05,"Souter’s shame A word of perspective needs to be added to the fawning chorus that has arisen upon the recent death of former U.S. Supreme Court Justice Souter.

Souter’s legacy was severely compromised by his embrace of the outrageous Kelo decision of 2005....",souters shame word perspective need added fawning chorus arisen upon recent death former u supreme court justice souter souters legacy severely compromised embrace outrageous kelo decision 2005
Pfizer,"Guy Moves Cake Away From Toddler Destroying It, Gets Major Side-Eye From Parents","""The kid started sticking his hands into the cake and licking them!""",2025-05-11T01:00:03Z,Boredpanda.com,https://www.boredpanda.com/moving-birthday-cake-from-toddlers-reach/,2025-05-12 11:50:05,"Guy Moves Cake Away From Toddler Destroying It, Gets Major Side-Eye From Parents ""The kid started sticking his hands into the cake and licking them!""",guy move cake away toddler destroying get major sideeye parent kid started sticking hand cake licking
Pfizer,Covid-19 mRNA Destroys over 60% of Non-Renewable Egg Supply,"Article URL: https://www.thefocalpoints.com/p/breaking-covid-19-mrna-shots-destroy
Comments URL: https://news.ycombinator.com/item?id=43950081
Points: 4
# Comments: 0",2025-05-11T00:07:19Z,Thefocalpoints.com,https://www.thefocalpoints.com/p/breaking-covid-19-mrna-shots-destroy,2025-05-12 11:50:05,"Covid-19 mRNA Destroys over 60% of Non-Renewable Egg Supply Article URL: https://www.thefocalpoints.com/p/breaking-covid-19-mrna-shots-destroy
Comments URL: https://news.ycombinator.com/item?id=43950081
Points: 4
# Comments: 0",covid19 mrna destroys 60 nonrenewable egg supply article url comment url point 4 comment 0
Pfizer,‘Bringing Home the Bacon’: FDA Approves U.K. Biotech Company Plan to Produce Gene-Edited Pigs for U.S. Consumers,"The U.S. Food and Drug Administration (FDA) last week gave a U.K.-based biotech company the green light to produce gene-edited pigs for human consumption in the U.S. PIC, formerly the Pig Improvement Company, uses CRISPR gene-editing technology to genetically…",2025-05-10T13:21:09Z,Freerepublic.com,https://freerepublic.com/focus/f-chat/4316135/posts,2025-05-12 11:50:05,"‘Bringing Home the Bacon’: FDA Approves U.K. Biotech Company Plan to Produce Gene-Edited Pigs for U.S. Consumers The U.S. Food and Drug Administration (FDA) last week gave a U.K.-based biotech company the green light to produce gene-edited pigs for human consumption in the U.S. PIC, formerly the Pig Improvement Company, uses CRISPR gene-editing technology to genetically…",bringing home bacon fda approves uk biotech company plan produce geneedited pig u consumer u food drug administration fda last week gave ukbased biotech company green light produce geneedited pig human consumption u pic formerly pig improvement company us crispr geneediting technology genetically
Pfizer,Is Pfizer Inc. (PFE) the Best High-Yield Dividend Stock for 2025 and Beyond?,,2025-05-10T08:17:13Z,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_008c0bc9-2d88-41ac-af6e-0a14f28c2c35,2025-05-12 11:50:05,Is Pfizer Inc. (PFE) the Best High-Yield Dividend Stock for 2025 and Beyond? ,pfizer inc pfe best highyield dividend stock 2025 beyond
Pfizer,Manufacturing Stocks To Consider – May 8th,"D-Wave Quantum, Taiwan Semiconductor Manufacturing, Exxon Mobil, Pfizer, ServiceNow, GE Vernova, and Salesforce are the seven Manufacturing stocks to watch today, according to MarketBeat’s stock screener tool. Manufacturing stocks, often called inventory, com…",2025-05-10T06:03:14Z,ETF Daily News,https://www.etfdailynews.com/2025/05/10/manufacturing-stocks-to-consider-may-8th/,2025-05-12 11:50:05,"Manufacturing Stocks To Consider – May 8th D-Wave Quantum, Taiwan Semiconductor Manufacturing, Exxon Mobil, Pfizer, ServiceNow, GE Vernova, and Salesforce are the seven Manufacturing stocks to watch today, according to MarketBeat’s stock screener tool. Manufacturing stocks, often called inventory, com…",manufacturing stock consider may 8th dwave quantum taiwan semiconductor manufacturing exxon mobil pfizer servicenow ge vernova salesforce seven manufacturing stock watch today according marketbeats stock screener tool manufacturing stock often called inventory com
Pfizer,Central District Health to continue offering COVID-19 vaccines after board vote,"Central District Health (CDH) will continue to provide COVID-19 vaccines to residents in Ada, Boise, Elmore, and Valley counties. This decision follows a narrow",2025-05-10T02:19:15Z,Idaho News,https://idahonews.com/news/local/central-district-health-to-continue-offering-covid-19-vaccines-after-board-vote,2025-05-12 11:50:05,"Central District Health to continue offering COVID-19 vaccines after board vote Central District Health (CDH) will continue to provide COVID-19 vaccines to residents in Ada, Boise, Elmore, and Valley counties. This decision follows a narrow",central district health continue offering covid19 vaccine board vote central district health cdh continue provide covid19 vaccine resident ada boise elmore valley county decision follows narrow
Pfizer,"RFK Jr. mandates PLACEBO-CONTROLLED TRIALS for new vaccines, exposing decades of Big Pharma deception","For decades, the vaccine industry has operated in the shadows, bypassing the gold standard of science — placebo-controlled trials — to push untested, unsafe products onto the public. Now, in a historic move, Health and Human Services (HHS) Secretary Robert F.…",2025-05-10T02:00:00Z,Activistpost.com,https://www.activistpost.com/rfk-jr-mandates-placebo-controlled-trials-for-new-vaccines-exposing-decades-of-big-pharma-deception/,2025-05-12 11:50:05,"RFK Jr. mandates PLACEBO-CONTROLLED TRIALS for new vaccines, exposing decades of Big Pharma deception For decades, the vaccine industry has operated in the shadows, bypassing the gold standard of science — placebo-controlled trials — to push untested, unsafe products onto the public. Now, in a historic move, Health and Human Services (HHS) Secretary Robert F.…",rfk jr mandate placebocontrolled trial new vaccine exposing decade big pharma deception decade vaccine industry operated shadow bypassing gold standard science placebocontrolled trial push untested unsafe product onto public historic move health human service hhs secretary robert f
Pfizer,Five recent papers show vaccine COVID vaccine harms outweigh any benefits,"Don’t worry. The FDA, CDC, and Congress are never going to apologize for their mistake. One of these papers has already been rejected by 6 journals without even reading the paper! Executive summary Here are five recent papers that everyone should know about a…",2025-05-10T01:59:00Z,Activistpost.com,https://www.activistpost.com/five-recent-papers-show-vaccine-covid-vaccine-harms-outweigh-any-benefits/,2025-05-12 11:50:05,"Five recent papers show vaccine COVID vaccine harms outweigh any benefits Don’t worry. The FDA, CDC, and Congress are never going to apologize for their mistake. One of these papers has already been rejected by 6 journals without even reading the paper! Executive summary Here are five recent papers that everyone should know about a…",five recent paper show vaccine covid vaccine harm outweigh benefit dont worry fda cdc congress never going apologize mistake one paper already rejected 6 journal without even reading paper executive summary five recent paper everyone know
Pfizer,Secretary Hegseth Paves the Way for Department of Defense Accountability,"Service members applaud the Department of Defense’s latest move, hoping it brings them one step closer to holding accountable those who implemented and enforced former Secretary of Defense Lloyd Austin’s tyrannical COVID-19 shot mandate.
The post Secretary He…",2025-05-09T22:40:04Z,Thegatewaypundit.com,https://www.thegatewaypundit.com/2025/05/secretary-hegseth-paves-way-department-defense-accountability/,2025-05-12 11:50:05,"Secretary Hegseth Paves the Way for Department of Defense Accountability Service members applaud the Department of Defense’s latest move, hoping it brings them one step closer to holding accountable those who implemented and enforced former Secretary of Defense Lloyd Austin’s tyrannical COVID-19 shot mandate.
The post Secretary He…",secretary hegseth pave way department defense accountability service member applaud department defense latest move hoping brings one step closer holding accountable implemented enforced former secretary defense lloyd austin tyrannical covid19 shot mandate post secretary
